id	label	value
1	AAHED	7559
2	AALII	50706
3	AARGH	96654
4	AARTI	48460
5	ABACA	64078
6	ABACI	35761
7	ABACK	36443
8	ABACS	74823
9	ABAFT	9517
10	ABAKA	25897
11	ABAMP	93534
12	ABAND	95402
13	ABASE	74790
14	ABASH	89461
15	ABASK	86688
16	ABATE	82849
17	ABAYA	16621
18	ABBAS	3587
19	ABBED	72646
20	ABBES	42404
21	ABBEY	90827
22	ABBOT	78122
23	ABCEE	52212
24	ABEAM	61478
25	ABEAR	51472
26	ABELE	75274
27	ABERS	39830
28	ABETS	22104
29	ABHOR	7034
30	ABIDE	71118
31	ABIES	91513
32	ABLED	89997
33	ABLER	22331
34	ABLES	48594
35	ABLET	88914
36	ABLOW	68874
37	ABMHO	56704
38	ABODE	80164
39	ABOHM	7823
40	ABOIL	70649
41	ABOMA	83905
42	ABOON	85712
43	ABORD	24685
44	ABORE	43320
45	ABORT	41151
46	ABOUT	43744
47	ABOVE	21450
48	ABRAM	30606
49	ABRAY	2692
50	ABRIM	71182
51	ABRIN	73961
52	ABRIS	97691
53	ABSEY	75112
54	ABSIT	23524
55	ABUNA	52411
56	ABUNE	52367
57	ABUSE	98805
58	ABUTS	80679
59	ABUZZ	59082
60	ABYES	27703
61	ABYSM	8113
62	ABYSS	37922
63	ACAIS	92759
64	ACARI	30913
65	ACCAS	91810
66	ACCOY	92640
67	ACERB	6839
68	ACERS	27252
69	ACETA	59266
70	ACHAR	21697
71	ACHED	3785
72	ACHES	87636
73	ACHOO	95418
74	ACIDS	57722
75	ACIDY	18933
76	ACING	81096
77	ACINI	10659
78	ACKEE	69328
79	ACKER	55009
80	ACMES	87017
81	ACMIC	12923
82	ACNED	62854
83	ACNES	57645
84	ACOCK	66803
85	ACOLD	18913
86	ACORN	82149
87	ACRED	63062
88	ACRES	20675
89	ACRID	83717
90	ACROS	82527
91	ACTED	52772
92	ACTIN	20218
93	ACTON	82570
94	ACTOR	66950
95	ACUTE	14442
96	ACYLS	46643
97	ADAGE	8825
98	ADAPT	84807
99	ADAWS	87313
100	ADAYS	79355
101	ADBOT	304
102	ADDAX	18426
103	ADDED	35352
104	ADDER	83292
105	ADDIO	20910
106	ADDLE	73144
107	ADEEM	93712
108	ADEPT	10918
109	ADHAN	52981
110	ADIEU	94081
111	ADIOS	34713
112	ADITS	66332
113	ADMAN	69209
114	ADMEN	37937
115	ADMIN	10317
116	ADMIT	91115
117	ADMIX	42096
118	ADOBE	8923
119	ADOBO	57839
120	ADOPT	44504
121	ADORE	17461
122	ADORN	50479
123	ADOWN	45865
124	ADOZE	38442
125	ADRAD	40770
126	ADRED	53965
127	ADSUM	86150
128	ADUKI	98997
129	ADULT	27531
130	ADUNC	66103
131	ADUST	83837
132	ADVEW	44117
133	ADYTA	43646
134	ADZED	24729
135	ADZES	90046
136	AECIA	76667
137	AEDES	75492
138	AEGIS	75610
139	AEONS	95029
140	AERIE	17399
141	AEROS	69561
142	AESIR	25605
143	AFALD	85305
144	AFARA	99997
145	AFARS	20489
146	AFEAR	3320
147	AFFIX	17253
148	AFIRE	33640
149	AFLAJ	92490
150	AFOOT	15033
151	AFORE	73028
152	AFOUL	70950
153	AFRIT	87360
154	AFROS	16075
155	AFTER	20314
156	AGAIN	45565
157	AGAMA	36087
158	AGAMI	37388
159	AGAPE	39069
160	AGARS	41024
161	AGAST	14200
162	AGATE	29885
163	AGAVE	80063
164	AGAZE	65800
165	AGENE	3253
166	AGENT	84844
167	AGERS	75731
168	AGGER	2502
169	AGGIE	69282
170	AGGRI	5594
171	AGGRO	73460
172	AGGRY	43156
173	AGHAS	73219
174	AGILA	20436
175	AGILE	95186
176	AGING	61965
177	AGIOS	84830
178	AGISM	65202
179	AGIST	38434
180	AGITA	94200
181	AGLEE	37317
182	AGLET	88312
183	AGLEY	73660
184	AGLOO	46015
185	AGLOW	29017
186	AGLUS	90003
187	AGMAS	73182
188	AGOGE	60159
189	AGONE	87904
190	AGONS	73691
191	AGONY	12552
192	AGOOD	56769
193	AGORA	51883
194	AGREE	22488
195	AGRIA	43421
196	AGRIN	62149
197	AGROS	73194
198	AGUED	96835
199	AGUES	47677
200	AGUNA	65183
201	AGUTI	69560
202	AHEAD	16463
203	AHEAP	90829
204	AHENT	72679
205	AHIGH	15284
206	AHIND	19134
207	AHING	17889
208	AHINT	50082
209	AHOLD	86415
210	AHULL	26614
211	AHURU	60547
212	AIDAS	8978
213	AIDED	86484
214	AIDER	64308
215	AIDES	18310
216	AIDOI	67394
217	AIDOS	16624
218	AIERY	77322
219	AIGAS	71792
220	AIGHT	1332
221	AILED	28737
222	AIMED	88845
223	AIMER	80961
224	AINEE	2766
225	AINGA	77513
226	AIOLI	65235
227	AIRED	19215
228	AIRER	42848
229	AIRNS	29699
230	AIRTH	80332
231	AIRTS	90172
232	AISLE	26434
233	AITCH	5616
234	AITUS	58550
235	AIVER	62846
236	AIYEE	12254
237	AIZLE	36959
238	AJIES	93685
239	AJIVA	24
240	AJUGA	8012
241	AJWAN	65910
242	AKEES	53296
243	AKELA	23152
244	AKENE	66716
245	AKING	76660
246	AKITA	63097
247	AKKAS	74665
248	ALAAP	83865
249	ALACK	55889
250	ALAMO	34124
251	ALAND	91111
252	ALANE	34658
253	ALANG	39773
254	ALANS	29303
255	ALANT	92586
256	ALAPA	75469
257	ALAPS	59038
258	ALARM	67690
259	ALARY	91319
260	ALATE	70315
261	ALAYS	43024
262	ALBAS	29090
263	ALBEE	68608
264	ALBUM	31552
265	ALCID	27622
266	ALCOS	59667
267	ALDEA	2232
268	ALDER	60188
269	ALDOL	86089
270	ALECK	44492
271	ALECS	85989
272	ALEFS	5392
273	ALEFT	81078
274	ALEPH	71760
275	ALERT	98566
276	ALEWS	69614
277	ALEYE	21711
278	ALFAS	6335
279	ALGAE	70679
280	ALGAL	71654
281	ALGAS	68995
282	ALGID	85604
283	ALGIN	73286
284	ALGOR	18898
285	ALGUM	43311
286	ALIAS	87715
287	ALIBI	98374
288	ALIEN	98360
289	ALIFS	95980
290	ALIGN	61028
291	ALIKE	9067
292	ALINE	62806
293	ALIST	28713
294	ALIVE	47571
295	ALIYA	68076
296	ALKIE	58741
297	ALKOS	30948
298	ALKYD	11955
299	ALKYL	89856
300	ALLAY	46367
301	ALLEE	61270
302	ALLEL	63157
303	ALLEY	24500
304	ALLIS	15408
305	ALLOD	6917
306	ALLOT	99447
307	ALLOW	74913
308	ALLOY	89739
309	ALLYL	81615
310	ALMAH	55537
311	ALMAS	20504
312	ALMEH	28414
313	ALMES	19471
314	ALMUD	39246
315	ALMUG	3348
316	ALODS	69168
317	ALOED	18781
318	ALOES	46529
319	ALOFT	52669
320	ALOHA	8839
321	ALOIN	98567
322	ALONE	80343
323	ALONG	92974
324	ALOOF	73989
325	ALOOS	33177
326	ALOUD	23951
327	ALOWE	40160
328	ALPHA	32401
329	ALTAR	90593
330	ALTER	1872
331	ALTHO	4687
332	ALTOS	79804
333	ALULA	16193
334	ALUMS	45925
335	ALURE	40396
336	ALVAR	22900
337	ALWAY	530
338	AMAHS	93734
339	AMAIN	51157
340	AMASS	76875
341	AMATE	25893
342	AMAUT	94959
343	AMAZE	34351
344	AMBAN	1893
345	AMBER	42753
346	AMBIT	36144
347	AMBLE	93672
348	AMBOS	45561
349	AMBRY	16988
350	AMEBA	62913
351	AMEER	26882
352	AMEND	79835
353	AMENE	16722
354	AMENS	15913
355	AMENT	41681
356	AMIAS	89130
357	AMICE	44199
358	AMICI	95957
359	AMIDE	38849
360	AMIDO	93414
361	AMIDS	43098
362	AMIES	60020
363	AMIGA	99284
364	AMIGO	57357
365	AMINE	71777
366	AMINO	84905
367	AMINS	37714
368	AMIRS	13231
369	AMISS	7241
370	AMITY	67308
371	AMLAS	87495
372	AMMAN	16558
373	AMMON	10789
374	AMMOS	11246
375	AMNIA	80109
376	AMNIC	86226
377	AMNIO	97845
378	AMOKS	34973
379	AMOLE	57016
380	AMONG	40197
381	AMORT	40912
382	AMOUR	59964
383	AMOVE	41278
384	AMOWT	72621
385	AMPED	9231
386	AMPLE	83364
387	AMPLY	9410
388	AMPUL	12642
389	AMRIT	77830
390	AMUCK	94228
391	AMUSE	6254
392	AMYLS	54699
393	ANANA	51261
394	ANATA	68705
395	ANCHO	25127
396	ANCLE	38473
397	ANCON	30266
398	ANDRO	82757
399	ANEAR	79584
400	ANELE	11311
401	ANENT	98516
402	ANGAS	10506
403	ANGEL	88778
404	ANGER	51486
405	ANGLE	45514
406	ANGLO	47227
407	ANGRY	50521
408	ANGST	67192
409	ANIGH	93292
410	ANILE	9264
411	ANILS	6148
412	ANIMA	67057
413	ANIME	50652
414	ANIMI	3538
415	ANION	45501
416	ANISE	71238
417	ANKER	53525
418	ANKHS	27293
419	ANKLE	14686
420	ANKUS	12194
421	ANLAS	35135
422	ANNAL	89104
423	ANNAS	62182
424	ANNAT	81076
425	ANNEX	39878
426	ANNOY	96995
427	ANNUL	89169
428	ANOAS	57806
429	ANODE	79057
430	ANOLE	58457
431	ANOMY	71762
432	ANSAE	68515
433	ANTAE	88884
434	ANTAR	18243
435	ANTAS	37349
436	ANTED	97059
437	ANTES	6074
438	ANTIC	4797
439	ANTIS	66947
440	ANTRA	48571
441	ANTRE	39763
442	ANTSY	60372
443	ANURA	4415
444	ANVIL	71722
445	ANYON	1445
446	AORTA	70259
447	APACE	55956
448	APAGE	7129
449	APAID	44086
450	APART	82997
451	APAYD	97986
452	APAYS	6257
453	APEAK	67921
454	APEEK	48698
455	APERS	37192
456	APERT	23120
457	APERY	2867
458	APGAR	94400
459	APHID	19202
460	APHIS	11759
461	APIAN	40790
462	APING	52640
463	APIOL	16468
464	APISH	85775
465	APISM	94218
466	APNEA	85440
467	APODE	83580
468	APODS	32655
469	APOOP	21009
470	APORT	19444
471	APPAL	82992
472	APPAY	62991
473	APPEL	99738
474	APPLE	37374
475	APPLY	89760
476	APPRO	55505
477	APPUI	69757
478	APPUY	37766
479	APRES	71470
480	APRON	23432
481	APSES	88610
482	APSIS	63354
483	APSOS	18375
484	APTED	78745
485	APTER	82137
486	APTLY	22952
487	AQUAE	14164
488	AQUAS	67222
489	ARABA	80925
490	ARAKS	28461
491	ARAME	44641
492	ARARS	11713
493	ARBAS	89376
494	ARBOR	49972
495	ARCED	7345
496	ARCHI	16524
497	ARCOS	15059
498	ARCUS	82429
499	ARDEB	56791
500	ARDOR	56833
501	ARDRI	13551
502	AREAD	64012
503	AREAE	84911
504	AREAL	99039
505	AREAR	39788
506	AREAS	33694
507	ARECA	36503
508	AREDD	4111
509	AREDE	88177
510	AREFY	1175
511	AREIC	77372
512	ARENA	69584
513	ARENE	97379
514	AREPA	96554
515	ARERE	93
516	ARETE	93450
517	ARETS	51744
518	ARETT	63585
519	ARGAL	166
520	ARGAN	69969
521	ARGIL	77114
522	ARGLE	33784
523	ARGOL	58635
524	ARGON	22958
525	ARGOT	32103
526	ARGUE	64619
527	ARGUS	10270
528	ARHAT	30462
529	ARIAS	24487
530	ARIEL	6651
531	ARIKI	75257
532	ARILS	3437
533	ARIOT	82431
534	ARISE	71423
535	ARISH	55637
536	ARKED	77078
537	ARLED	33006
538	ARLES	9628
539	ARMED	99365
540	ARMER	75419
541	ARMET	77116
542	ARMIL	71385
543	ARMOR	54454
544	ARNAS	70390
545	ARNUT	34863
546	AROBA	47854
547	AROHA	34855
548	AROID	89110
549	AROMA	82583
550	AROSE	53071
551	ARPAS	99642
552	ARPEN	53356
553	ARRAH	50473
554	ARRAS	78571
555	ARRAY	64618
556	ARRET	50884
557	ARRIS	78220
558	ARROW	55315
559	ARROZ	31829
560	ARSED	12335
561	ARSES	31338
562	ARSEY	11428
563	ARSIS	82475
564	ARSON	91047
565	ARTAL	74228
566	ARTEL	47355
567	ARTIC	31862
568	ARTIS	60464
569	ARTSY	46807
570	ARUHE	53706
571	ARUMS	37825
572	ARVAL	92716
573	ARVEE	33045
574	ARVOS	91123
575	ARYLS	204
576	ASANA	2782
577	ASCON	69082
578	ASCOT	71615
579	ASCUS	44176
580	ASDIC	78569
581	ASHED	11911
582	ASHEN	12407
583	ASHES	4453
584	ASHET	77191
585	ASIDE	24979
586	ASKED	8968
587	ASKER	72329
588	ASKEW	7504
589	ASKOI	63022
590	ASKOS	13449
591	ASPEN	38907
592	ASPER	7546
593	ASPIC	23359
594	ASPIE	60547
595	ASPIS	59125
596	ASPRO	240
597	ASSAI	49505
598	ASSAM	16887
599	ASSAY	55662
600	ASSES	88600
601	ASSET	27242
602	ASSEZ	70585
603	ASSOT	22793
604	ASTER	55447
605	ASTIR	88249
606	ASTUN	77935
607	ASURA	37512
608	ASWAY	59910
609	ASWIM	57963
610	ASYLA	84081
611	ATAPS	56696
612	ATAXY	5591
613	ATIGI	80030
614	ATILT	67758
615	ATIMY	69283
616	ATLAS	94581
617	ATMAN	28153
618	ATMAS	95032
619	ATMOS	47003
620	ATOCS	28948
621	ATOKE	64197
622	ATOKS	94323
623	ATOLL	86504
624	ATOMS	27078
625	ATOMY	45619
626	ATONE	88389
627	ATONY	12728
628	ATOPY	60260
629	ATRIA	12382
630	ATRIP	2536
631	ATTAP	35708
632	ATTAR	85022
633	ATTIC	20448
634	ATUAS	98719
635	AUDAD	18498
636	AUDIO	40634
637	AUDIT	6948
638	AUGER	26940
639	AUGHT	8851
640	AUGUR	38723
641	AULAS	44179
642	AULIC	92742
643	AULOI	15580
644	AULOS	64892
645	AUMIL	47366
646	AUNES	12134
647	AUNTS	18421
648	AUNTY	35955
649	AURAE	85805
650	AURAL	30674
651	AURAR	25985
652	AURAS	89923
653	AUREI	72942
654	AURES	27924
655	AURIC	89006
656	AURIS	32346
657	AURUM	78383
658	AUTOS	17739
659	AUXIN	38276
660	AVAIL	93792
661	AVALE	7108
662	AVANT	68098
663	AVAST	66967
664	AVELS	37764
665	AVENS	63036
666	AVERS	69998
667	AVERT	16025
668	AVGAS	13687
669	AVIAN	22641
670	AVINE	53895
671	AVION	46477
672	AVISE	59349
673	AVISO	35623
674	AVIZE	63351
675	AVOID	79207
676	AVOWS	42473
677	AVYZE	1906
678	AWAIT	44941
679	AWAKE	2206
680	AWARD	19831
681	AWARE	65565
682	AWARN	24001
683	AWASH	58659
684	AWATO	89068
685	AWAVE	97830
686	AWAYS	33794
687	AWDLS	49931
688	AWEEL	51857
689	AWETO	72244
690	AWFUL	4734
691	AWING	9330
692	AWMRY	9828
693	AWNED	36623
694	AWNER	41001
695	AWOKE	45422
696	AWOLS	81356
697	AWORK	98417
698	AXELS	76
699	AXIAL	3523
700	AXILE	98589
701	AXILS	24152
702	AXING	34334
703	AXIOM	95543
704	AXION	92895
705	AXITE	39668
706	AXLED	81274
707	AXLES	64825
708	AXMAN	54519
709	AXMEN	87005
710	AXOID	16951
711	AXONE	78595
712	AXONS	89887
713	AYAHS	32695
714	AYAYA	46710
715	AYELP	33222
716	AYGRE	14152
717	AYINS	88510
718	AYONT	22784
719	AYRES	70746
720	AYRIE	4660
721	AZANS	17912
722	AZIDE	91336
723	AZIDO	34159
724	AZINE	29014
725	AZLON	87685
726	AZOIC	75810
727	AZOLE	31409
728	AZONS	57145
729	AZOTE	98055
730	AZOTH	16738
731	AZUKI	37934
732	AZURE	26829
733	AZURN	14263
734	AZURY	16321
735	AZYGY	57902
736	AZYME	72339
737	AZYMS	62129
738	BAAED	66833
739	BAALS	90576
740	BABAS	97121
741	BABEL	10266
742	BABES	85573
743	BABKA	69788
744	BABOO	11286
745	BABUL	65809
746	BABUS	6299
747	BACCA	12490
748	BACCO	22736
749	BACCY	57248
750	BACHA	30917
751	BACHS	50585
752	BACKS	21653
753	BACON	99297
754	BADDY	36623
755	BADGE	20847
756	BADLY	7717
757	BAELS	99480
758	BAFFS	52248
759	BAFFY	95819
760	BAFTS	71889
761	BAGEL	77362
762	BAGGY	95715
763	BAGHS	47657
764	BAGIE	92233
765	BAHTS	11035
766	BAHUS	172
767	BAHUT	42461
768	BAILS	69955
769	BAIRN	29915
770	BAISA	73887
771	BAITH	47907
772	BAITS	76111
773	BAIZA	30198
774	BAIZE	16523
775	BAJAN	77337
776	BAJRA	77942
777	BAJRI	42398
778	BAJUS	63913
779	BAKED	8534
780	BAKEN	89151
781	BAKER	17645
782	BAKES	99489
783	BAKRA	27909
784	BALAS	43979
785	BALDS	34838
786	BALDY	42692
787	BALED	44047
788	BALER	6814
789	BALES	99109
790	BALKS	16173
791	BALKY	61149
792	BALLS	74416
793	BALLY	86363
794	BALMS	87243
795	BALMY	5245
796	BALOO	26084
797	BALSA	38684
798	BALTI	33572
799	BALUN	4803
800	BALUS	70611
801	BAMBI	52276
802	BANAK	89369
803	BANAL	1575
804	BANCO	46535
805	BANCS	31212
806	BANDA	50588
807	BANDH	53071
808	BANDS	90738
809	BANDY	14827
810	BANED	82385
811	BANES	5405
812	BANGS	21281
813	BANIA	46336
814	BANJO	34289
815	BANKS	27502
816	BANNS	12767
817	BANTS	95008
818	BANTU	5312
819	BANTY	74308
820	BANYA	29421
821	BAPUS	980
822	BARBE	40386
823	BARBS	65542
824	BARBY	87234
825	BARCA	41570
826	BARDE	78995
827	BARDO	10984
828	BARDS	60345
829	BARDY	42985
830	BARED	54820
831	BARER	57319
832	BARES	96107
833	BARFI	74800
834	BARFS	13531
835	BARGE	65433
836	BARIC	1044
837	BARKS	78541
838	BARKY	37425
839	BARMS	76840
840	BARMY	7490
841	BARNS	86432
842	BARNY	54341
843	BARON	62572
844	BARPS	83051
845	BARRA	19158
846	BARRE	86009
847	BARRO	60107
848	BARRY	76268
849	BARYE	73709
850	BASAL	91106
851	BASAN	72587
852	BASED	61190
853	BASEN	34096
854	BASER	54924
855	BASES	71813
856	BASHO	71448
857	BASIC	75445
858	BASIJ	55390
859	BASIL	75257
860	BASIN	42411
861	BASIS	61816
862	BASKS	6307
863	BASON	50489
864	BASSE	87666
865	BASSI	71549
866	BASSO	25106
867	BASSY	19067
868	BASTA	71496
869	BASTE	71379
870	BASTI	84144
871	BASTO	89500
872	BASTS	34104
873	BATCH	16527
874	BATED	57301
875	BATES	54905
876	BATHE	95927
877	BATHS	72042
878	BATIK	70839
879	BATON	15725
880	BATTA	48968
881	BATTS	67960
882	BATTU	33132
883	BATTY	70700
884	BAUDS	7274
885	BAUKS	99654
886	BAULK	511
887	BAURS	5523
888	BAVIN	95117
889	BAWDS	17363
890	BAWDY	90862
891	BAWKS	40219
892	BAWLS	56911
893	BAWNS	19275
894	BAWRS	44238
895	BAWTY	61252
896	BAYED	69338
897	BAYER	43445
898	BAYES	83978
899	BAYLE	85704
900	BAYOU	99565
901	BAYTS	71882
902	BAZAR	98413
903	BAZOO	45161
904	BEACH	10000
905	BEADS	36337
